"dates","titles","end_price","start_price","high_price","low_price","amount"
"2011-01-04",NA,197500,194500,202000,192000,707719
"2011-01-05",NA,190500,195500,197500,189500,855655
"2011-01-06",NA,192500,192000,194000,188500,566165
"2011-01-07",NA,191500,190500,193000,189500,371769
"2011-01-10",NA,186500,190000,197000,184500,1125833
"2011-01-11",NA,188500,187000,189500,181500,613173
"2011-01-12",NA,196000,191500,196500,190500,869575
"2011-01-13",NA,194500,197000,197500,193000,587568
"2011-01-14",NA,188500,190500,191000,185000,1085948
"2011-01-17",NA,182500,187000,188500,181000,1104972
"2011-01-18",NA,186000,184000,189000,183500,675863
"2011-01-19",NA,187000,188000,189000,184000,403867
"2011-01-20",NA,185000,186000,193000,184000,659046
"2011-01-21",NA,182500,187000,187000,179000,754345
"2011-01-24",NA,190500,183000,190500,180500,742671
"2011-01-25",NA,187500,191000,191500,186000,552563
"2011-01-26",NA,189500,186000,190500,185500,372792
"2011-01-27",NA,198500,190000,199500,190000,1334525
"2011-01-28",NA,199000,198500,201000,195000,700202
"2011-01-31",NA,204500,198000,209000,197000,1177730
"2011-02-01",NA,201500,206500,207500,200500,662371
"2011-02-07",NA,195000,204000,204500,194500,668576
"2011-02-08",NA,199500,195000,201000,192000,707469
"2011-02-09",NA,194000,198000,199500,190000,541387
"2011-02-10",NA,184500,192500,196000,184000,780479
"2011-02-11",NA,180000,185500,190500,179500,686308
"2011-02-14",NA,179000,181000,182500,174000,792687
"2011-02-15",NA,183000,181000,186000,176500,634690
"2011-02-16",NA,175000,181000,184500,173500,687933
"2011-02-17",NA,171500,176500,178500,167000,889277
"2011-02-18",NA,175000,171500,177500,170500,516078
"2011-02-21",NA,183500,177000,184500,176000,673077
"2011-02-22",NA,178500,185000,186000,178500,614966
"2011-02-23",NA,181500,180000,185500,179500,623849
"2011-02-24",NA,179000,184500,184500,173000,577555
"2011-02-25",NA,180500,176500,181500,174000,513284
"2011-02-28",NA,175000,179000,180000,174000,315194
"2011-03-02",NA,172500,174500,177000,172000,360851
"2011-03-03",NA,181000,175000,182500,174500,341062
"2011-03-04",NA,186000,182000,186000,179000,448672
"2011-03-07",NA,189000,185000,192000,182500,546966
"2011-03-08",NA,187500,189500,190500,186000,555869
"2011-03-09",NA,192000,186500,192000,184000,539164
"2011-03-10",NA,191500,190500,194000,188000,664168
"2011-03-11",NA,186000,188000,189500,183000,482360
"2011-03-14",NA,198500,198000,202000,193500,1762271
"2011-03-15",NA,198500,200000,208000,193500,1526094
"2011-03-16",NA,199500,203000,206000,198500,750117
"2011-03-17",NA,207500,199500,209500,198500,1023608
"2011-03-18",NA,209500,210500,217500,206500,1045004
"2011-03-21",NA,213500,210500,215500,207500,562488
"2011-03-22",NA,222500,215000,226500,213500,781569
"2011-03-23",NA,212500,225000,228500,208500,1201033
"2011-03-24",NA,210500,210500,215000,206000,1464797
"2011-03-25",NA,210000,214500,216000,207500,733757
"2011-03-28",NA,214000,208500,214500,207000,699643
"2011-03-29",NA,219500,215000,219500,212500,754288
"2011-03-30",NA,211500,222000,224500,210500,1019522
"2011-03-31",NA,211000,206000,211500,203000,1307808
"2011-04-01",NA,213000,211500,214500,211000,478501
"2011-04-04",NA,191000,201000,203500,190500,3511127
"2011-04-05",NA,194500,192000,195500,188500,1765551
"2011-04-06",NA,197500,195000,201500,193500,1528507
"2011-04-07",NA,202000,201000,203500,198500,698210
"2011-04-08",NA,204000,202000,204000,199000,860026
"2011-04-11",NA,210500,205500,212000,205000,1233668
"2011-04-12",NA,211000,211500,213500,206000,938929
"2011-04-13",NA,212500,209000,213000,202000,920163
"2011-04-14",NA,213000,210500,214500,206500,926699
"2011-04-15",NA,213500,214000,215500,210500,771653
"2011-04-18",NA,225000,215500,226000,215000,1262873
"2011-04-19",NA,219500,223500,226500,218500,1019012
"2011-04-20",NA,231000,222500,233000,219500,1114525
"2011-04-21",NA,248500,234000,251500,234000,1539687
"2011-04-22",NA,245000,248000,256000,244000,848303
"2011-04-25",NA,254000,242500,255000,240000,774714
"2011-04-26",NA,248500,253500,258500,248000,756722
"2011-04-27",NA,242000,247500,252500,232000,1318440
"2011-04-28",NA,250000,246500,250000,237000,872827
"2011-04-29","SK이노베이션, 분기사상 최초 수출 11조 돌파하며 매출 수직상승",232000,254000,256500,229500,1408678
"2011-05-02",NA,232500,230500,236500,227500,819853
"2011-05-03",NA,228000,234000,238000,225000,893581
"2011-05-04",NA,233000,225500,233500,221000,800795
"2011-05-06",NA,217000,219500,222000,209500,1654020
"2011-05-09",NA,219500,217000,226000,214500,731607
"2011-05-11",NA,226000,229000,230500,223000,695594
"2011-05-12",NA,215500,216500,219000,214500,799398
"2011-05-13",NA,209500,215500,217500,204000,995482
"2011-05-16",NA,214000,212000,217000,210000,707002
"2011-05-17",NA,216500,211500,219000,211000,517647
"2011-05-18",NA,223500,219000,223500,217000,578517
"2011-05-19",NA,220000,224500,227000,218000,711070
"2011-05-20",NA,218000,220000,221000,212000,567928
"2011-05-23",NA,205000,215000,217500,205000,509939
"2011-05-24",NA,210500,203000,212000,201500,657208
"2011-05-25",NA,208000,214500,216500,208000,523753
"2011-05-26",NA,222500,214000,224000,213000,723423
"2011-05-27",NA,223000,223500,228000,219500,549925
"2011-05-30","SK이노베이션, 배터리 서산 공장으로 ‘녹색이노베이션’ 나선다",225000,226000,226500,222000,337331
"2011-05-31",NA,233000,224500,236000,224000,797893
"2011-06-01",NA,236000,235000,241000,231000,656241
"2011-06-02",NA,235500,228000,239500,227000,560772
"2011-06-03","SK종합화학, 협력사와 함께하는 동반성장 간담회 열어",233000,239000,243000,230000,514877
"2011-06-07",NA,219500,229000,230000,216500,745844
"2011-06-08",NA,224000,220000,225000,213500,542268
"2011-06-09",NA,222500,227000,228000,221000,631939
"2011-06-10",NA,222500,225500,232000,219500,663651
"2011-06-13",NA,220000,217500,224000,215500,468650
"2011-06-14",NA,229000,218500,229000,216500,731996
"2011-06-15",NA,229000,231500,233000,225000,507602
