"날짜","종가","전일비","시가","고가","저가","거래량"
"2020.06.02","102,500","2,500","99,500","103,000","98,700","2,136,376"
"2020.06.01","100,000","2,000","98,000","101,500","98,000","1,908,428"
"2020.05.29","98,000","800","96,300","99,200","96,300","2,010,414"
"2020.05.28","97,200","900","99,500","99,600","96,200","1,602,694"
"2020.05.27","98,100","300","98,700","99,500","97,300","1,620,664"
"2020.05.26","97,800","1,800","96,000","99,500","95,500","2,006,216"
"2020.05.25","96,000","1,500","94,900","96,200","94,000","1,185,541"
"2020.05.22","94,500","2,700","97,100","97,200","94,000","1,619,476"
"2020.05.21","97,200","100","98,600","98,700","96,600","1,471,917"
"2020.05.20","97,300","1,800","98,000","98,300","96,300","1,828,158"
"2020.05.19","99,100","7,200","95,000","99,400","94,700","4,564,370"
"2020.05.18","91,900","400","92,100","92,200","91,000","741,214"
"2020.05.15","92,300","0","92,000","92,700","91,200","822,472"
"2020.05.14","92,300","800","92,600","92,900","91,500","982,612"
"2020.05.13","93,100","1,200","90,500","93,100","90,500","966,892"
"2020.05.12","91,900","1,800","93,200","93,800","91,100","1,259,874"
"2020.05.11","93,700","800","95,800","96,500","93,500","1,889,278"
"2020.05.08","94,500","1,900","93,000","95,400","93,000","1,749,677"
"2020.05.07","92,600","600","92,800","93,000","91,800","826,239"
"2020.05.06","93,200","1,700","93,300","94,200","92,600","1,039,600"
"2020.05.19","99,100","7,200","95,000","99,400","94,700","4,564,370"
"2020.05.18","91,900","400","92,100","92,200","91,000","741,214"
"2020.05.15","92,300","0","92,000","92,700","91,200","822,472"
"2020.05.14","92,300","800","92,600","92,900","91,500","982,612"
"2020.05.13","93,100","1,200","90,500","93,100","90,500","966,892"
"2020.05.12","91,900","1,800","93,200","93,800","91,100","1,259,874"
"2020.05.11","93,700","800","95,800","96,500","93,500","1,889,278"
"2020.05.08","94,500","1,900","93,000","95,400","93,000","1,749,677"
"2020.05.07","92,600","600","92,800","93,000","91,800","826,239"
"2020.05.06","93,200","1,700","93,300","94,200","92,600","1,039,600"
"2020.05.04","91,500","2,100","91,100","92,900","90,700","1,264,378"
"2020.04.29","93,600","400","93,500","94,000","92,400","1,193,284"
"2020.04.28","93,200","1,600","92,500","94,400","92,200","1,448,692"
"2020.04.27","91,600","1,500","90,300","92,500","90,200","1,219,677"
"2020.04.24","90,100","2,300","91,300","92,300","90,100","2,135,488"
"2020.04.23","92,400","200","93,700","95,100","92,100","3,196,313"
"2020.04.22","92,600","900","90,800","95,200","89,400","3,115,871"
"2020.04.21","93,500","4,100","96,100","96,500","91,300","3,634,142"
"2020.04.20","97,600","2,900","100,000","100,500","97,100","2,142,176"
"2020.04.17","100,500","1,400","101,000","103,500","100,000","1,487,879"
"2020.04.16","99,100","900","98,900","100,500","98,300","1,341,452"
"2020.04.14","100,000","2,200","98,600","101,500","97,700","1,582,587"
"2020.04.13","97,800","1,900","98,800","99,000","97,400","1,339,638"
"2020.04.10","99,700","2,600","97,400","101,500","96,200","2,806,785"
"2020.04.09","97,100","7,100","92,300","97,900","91,100","3,787,201"
"2020.04.08","90,000","400","89,800","91,900","88,900","1,785,939"
"2020.04.07","90,400","1,600","92,100","92,500","88,600","2,601,711"
"2020.04.06","88,800","2,500","86,500","88,800","85,900","1,688,599"
"2020.04.03","86,300","300","86,600","87,000","85,600","1,170,052"
"2020.04.02","86,600","1,200","85,300","86,800","83,000","1,487,243"
"2020.04.01","85,400","3,300","88,500","90,100","85,300","2,139,848"
"2020.03.31","88,700","3,300","87,700","88,700","86,000","2,138,183"
"2020.03.30","85,400","1,000","82,800","86,400","82,100","1,743,720"
"2020.03.27","86,400","1,500","89,700","90,000","84,500","2,513,938"
"2020.03.26","84,900","400","85,800","90,200","82,300","3,787,074"
"2020.03.25","84,500","9,700","79,800","85,600","78,800","4,604,452"
"2020.03.24","74,800","5,900","71,500","75,800","69,800","2,856,282"
"2020.03.23","68,900","2,200","67,200","71,000","66,200","2,391,540"
"2020.03.20","71,100","5,200","67,500","72,400","65,000","3,349,914"
"2020.03.19","65,900","7,600","75,000","75,900","65,100","3,138,004"
"2020.03.18","73,500","6,600","80,500","81,200","73,500","2,679,420"
"2020.03.17","80,100","2,800","78,100","83,400","78,100","2,492,208"
"2020.03.16","82,900","4,300","88,300","89,500","82,900","2,674,557"
"2020.03.13","87,200","7,800","86,500","90,200","83,500","4,835,445"
"2020.03.12","95,000","5,000","100,000","100,500","94,500","2,312,355"
"2020.03.11","100,000","2,000","103,000","103,000","99,700","2,005,654"
"2020.03.10","102,000","2,000","102,500","105,000","101,000","2,491,487"
"2020.03.09","104,000","6,500","108,000","108,000","103,500","1,658,544"
"2020.03.06","110,500","3,500","113,000","113,500","110,000","1,746,834"
"2020.03.05","114,000","1,000","115,500","116,000","113,000","1,135,241"
"2020.03.04","113,000","500","112,000","114,000","112,000","1,319,901"
"2020.03.03","112,500","1,000","116,000","116,500","112,000","1,414,986"
"2020.03.02","113,500","1,500","116,000","116,000","113,000","1,183,337"
"2020.02.28","115,000","6,000","118,500","119,000","114,000","1,777,353"
"2020.02.27","121,000","1,500","122,500","123,500","120,000","779,402"
"2020.02.26","122,500","0","121,000","124,000","120,000","1,001,834"
"2020.02.25","122,500","0","122,500","124,500","122,000","796,176"
"2020.02.24","122,500","5,500","124,500","125,000","122,000","911,932"
"2020.02.21","128,000","2,000","128,000","129,500","127,000","686,417"
"2020.02.20","130,000","1,500","132,500","133,000","129,000","711,858"
"2020.02.19","131,500","1,000","133,000","134,000","130,500","776,121"
"2020.02.18","132,500","3,000","134,000","134,500","131,000","744,150"
"2020.02.17","135,500","2,000","133,500","136,000","132,500","555,451"
"2020.02.14","133,500","500","132,500","135,000","131,500","591,584"
"2020.02.13","133,000","3,000","137,000","137,500","133,000","1,035,208"
"2020.02.12","136,000","3,500","132,500","137,500","132,500","1,373,302"
"2020.02.11","132,500","2,500","131,000","135,000","130,500","949,247"
"2020.02.10","130,000","1,000","129,500","132,000","129,000","669,628"
"2020.02.07","131,000","1,000","130,500","131,000","127,500","999,598"
"2020.02.06","132,000","8,000","125,500","133,000","125,500","1,659,774"
"2020.02.05","124,000","0","125,000","126,000","123,500","1,032,267"
"2020.02.04","124,000","500","123,500","126,000","122,500","1,203,992"
"2020.02.03","123,500","1,500","123,000","125,000","121,000","1,270,442"
"2020.01.31","125,000","2,500","128,500","129,500","124,500","1,035,126"
"2020.01.30","127,500","3,500","130,000","130,500","126,500","1,034,661"
"2020.01.29","131,000","0","132,000","133,000","129,000","1,318,578"
"2020.01.28","131,000","500","127,000","132,500","127,000","1,841,752"
"2020.01.23","130,500","3,500","130,000","131,500","128,000","2,492,785"
"2020.01.22","127,000","10,000","117,500","127,000","117,500","2,773,421"
"2020.01.21","117,000","1,000","118,000","118,500","116,500","545,156"
"2020.01.20","118,000","500","119,500","119,500","117,500","445,922"
"2020.01.17","118,500","0","118,500","120,000","118,000","574,301"
"2020.01.16","118,500","3,500","117,000","120,000","116,500","1,638,719"
"2020.01.15","115,000","1,000","116,000","116,000","114,000","564,142"
"2020.01.14","116,000","1,000","115,500","117,000","115,500","739,959"
"2020.01.13","115,000","1,500","113,500","115,500","113,000","692,917"
"2020.01.10","113,500","2,000","112,500","114,500","112,000","896,507"
"2020.01.09","111,500","500","113,000","114,500","110,000","1,375,510"
"2020.01.08","112,000","3,500","115,000","115,500","111,500","1,044,825"
"2020.01.07","115,500","500","116,500","117,000","115,500","674,196"
"2020.01.06","116,000","0","116,000","117,000","115,500","334,574"
"2020.01.03","116,000","2,000","118,500","119,000","115,000","1,145,187"
"2020.01.02","118,000","2,500","121,000","121,000","118,000","556,532"
"2019.12.30","120,500","0","120,500","121,500","120,000","467,794"
"2019.12.27","120,500","2,000","121,000","121,000","120,000","422,565"
"2019.12.26","122,500","500","122,500","123,000","121,500","552,469"
"2019.12.24","122,000","500","123,000","123,000","121,500","600,726"
"2019.12.23","122,500","1,500","124,000","125,000","122,000","1,462,906"
"2019.12.20","124,000","500","124,000","124,000","122,500","1,001,899"
