"dates","titles","end_prices","start_prices","high_prices","low_prices","amount"
"2016-12-28",NA,125500,124500,127000,124000,459211
"2016-12-29",NA,125500,124500,126500,124500,295470
"2017-01-02",NA,125500,125500,126500,124000,216717
"2017-01-03",NA,129000,126500,129500,126000,507878
"2017-01-04",NA,129000,129000,130500,128000,319875
"2017-01-05",NA,128000,129500,130500,128000,377917
"2017-01-06",NA,129000,128500,129000,127000,206627
"2017-01-09",NA,128000,128500,129000,127500,232165
"2017-01-10",NA,126500,127500,128000,126500,245322
"2017-01-11",NA,126000,127000,128000,125500,535569
"2017-01-12",NA,128000,126500,129000,126000,542624
"2017-01-13",NA,128500,128000,129000,126500,259502
"2017-01-16",NA,127500,128500,129000,126500,337269
"2017-01-17",NA,125000,127000,128500,124500,587686
"2017-01-18",NA,123000,124500,125000,122000,753539
"2017-01-19",NA,124000,128000,128500,124000,621122
"2017-01-20",NA,122000,123500,125000,121500,436494
"2017-01-23",NA,120500,121000,122500,120000,309555
"2017-01-24",NA,123500,120000,124000,120000,326102
"2017-01-25",NA,125000,124000,126000,123000,407382
"2017-01-26",NA,126500,126000,127500,124000,431389
"2017-01-31",NA,126000,125500,127500,125000,347477
"2017-02-01",NA,127000,127000,127500,126000,305080
"2017-02-02",NA,128500,126500,129500,126500,470484
"2017-02-03",NA,128500,129000,129500,127500,345789
"2017-02-06",NA,128000,129000,129500,127500,189476
"2017-02-07",NA,128500,128000,128500,127000,162093
"2017-02-08",NA,127500,128500,128500,126000,258988
"2017-02-09",NA,126000,127500,127500,126000,298986
"2017-02-10",NA,127500,127000,128500,125500,276672
"2017-02-13",NA,125500,126000,126500,123500,404042
"2017-02-14",NA,126000,125000,126500,124500,219850
"2017-02-15",NA,126000,125500,126500,125000,198742
"2017-02-16",NA,126500,126500,129000,125500,366400
"2017-02-17",NA,124000,122500,124500,121500,604469
"2017-02-20",NA,123000,123500,125500,123000,305838
"2017-02-21",NA,126000,123500,126000,123000,292388
"2017-02-22",NA,124000,126500,127000,124000,300386
"2017-02-23",NA,124000,124500,125500,123000,290739
"2017-02-24",NA,125000,124500,125000,123500,235107
"2017-02-27",NA,125000,124500,125500,124000,226446
"2017-02-28",NA,123000,125500,125500,123000,413692
"2017-03-02",NA,121500,123500,124500,121500,396116
"2017-03-03",NA,121500,121000,122500,120500,245038
"2017-03-06",NA,119500,121000,121500,118000,414429
"2017-03-07",NA,121500,120500,122000,119500,303550
"2017-03-08",NA,120500,121000,122000,120000,232995
"2017-03-09",NA,119500,120000,121500,119500,307838
"2017-03-10",NA,120500,120000,123000,119500,463588
"2017-03-13",NA,121000,121000,122500,120500,308158
"2017-03-14",NA,132000,121500,132000,120500,1858384
"2017-03-15",NA,131000,132000,134500,130500,1633435
"2017-03-16",NA,130500,132000,132500,128500,658542
"2017-03-17",NA,132500,130500,132500,129500,539796
"2017-03-20",NA,133000,133000,134500,131500,526483
"2017-03-21",NA,133500,133000,134500,131500,593727
"2017-03-22",NA,134000,132500,134500,131500,478401
"2017-03-23",NA,137500,135500,139000,135000,814717
"2017-03-24",NA,127500,129000,131000,126000,1834793
"2017-03-27",NA,125500,127000,128500,125000,691083
"2017-03-28",NA,126500,126000,127000,124500,608102
"2017-03-29",NA,128500,127000,128500,126000,386344
"2017-03-30",NA,128000,127500,128500,127000,239764
"2017-03-31",NA,127500,127500,128000,126000,330624
"2017-04-03",NA,127500,127500,128500,126500,213913
"2017-04-04",NA,129000,128000,130000,127000,341604
"2017-04-05",NA,127500,129000,129000,127000,244773
"2017-04-06",NA,126000,127000,127500,125000,282892
"2017-04-07",NA,127000,126000,127000,126000,216422
"2017-04-10",NA,124500,126500,127000,124000,414176
"2017-04-11",NA,123500,124500,124500,123000,313984
"2017-04-12",NA,125000,123500,125000,123500,165930
"2017-04-13",NA,125500,125000,125500,123500,285484
"2017-04-14",NA,125000,124500,125500,124000,124081
"2017-04-17",NA,126000,125000,126000,124500,165944
"2017-04-18",NA,127500,126000,130000,126000,692120
"2017-04-19",NA,127000,128500,129000,126500,245031
"2017-04-20",NA,128500,127500,129000,127000,348233
"2017-04-21",NA,130500,130000,131500,128500,491237
"2017-04-24",NA,130500,131000,132000,129500,270272
"2017-04-25",NA,130500,130500,131000,129500,244464
"2017-04-26",NA,131500,131000,133000,131000,439791
"2017-04-27",NA,122500,128000,128000,121000,2296586
"2017-04-28",NA,123500,121000,124000,120500,619066
"2017-05-02",NA,122500,122000,123500,122000,617060
"2017-05-04",NA,124000,124000,125000,122500,355536
"2017-05-08",NA,126500,126000,126500,124500,464675
"2017-05-10",NA,124500,126500,127500,123500,686676
"2017-05-11",NA,126500,125000,127000,124500,501278
"2017-05-12",NA,125500,126000,126500,125000,257044
"2017-05-15",NA,125500,126000,126000,124500,265700
"2017-05-16",NA,126500,126500,127000,125500,333600
"2017-05-17",NA,125500,126500,126500,125000,278802
"2017-05-18",NA,125000,124000,126000,124000,359938
"2017-05-19",NA,129500,125000,130000,125000,932339
"2017-05-22",NA,130500,131500,132000,129500,440110
"2017-05-23",NA,131000,130000,131500,128500,391575
"2017-05-24",NA,131000,132000,134000,131000,479014
"2017-05-25",NA,133000,132500,134000,131500,531150
"2017-05-26",NA,134000,133500,135000,133000,560796
"2017-05-29",NA,137500,135000,139000,134000,995868
"2017-05-30",NA,137500,139500,141500,136500,779140
"2017-05-31",NA,137500,137000,138500,135500,500477
"2017-06-01",NA,138000,137500,138500,136000,423105
"2017-06-02",NA,141500,139000,142000,138500,879961
"2017-06-05",NA,143000,141000,144000,140500,659590
"2017-06-07",NA,142500,143500,144000,141000,390665
"2017-06-08",NA,142500,142500,143500,139500,716307
"2017-06-09",NA,137500,142000,143000,137500,892989
"2017-06-12",NA,138000,135500,138000,135500,360534
"2017-06-13",NA,138500,138000,139500,137500,258419
"2017-06-14",NA,136500,140000,140500,135500,488727
"2017-06-15",NA,135500,135500,137000,135000,322169
"2017-06-16",NA,135500,136000,137000,135500,612073
"2017-06-19",NA,136000,135500,137000,133000,374642
