"dates","titles","paragraphs"
"2020-06-09","검암역 로열파크씨티 푸르지오, 8만4730명 청약으로 1순위 마감","가능하다.  대우건설이 시공하는 이 아파트는 지하 2층~지상 최고 40층 25개 동, 전용면적 59~241㎡ 총 4805가구러 이뤄진다.정서진과 아라뱃길, 계양산 조망을 누릴 수 있는 대한민국 첫 번째 리조트 도시로 조성된다.  단지는 삼성물산 리조트부문의 ‘미니 에버랜드 조경’과 100만 주에 가까운 꽃과 나무의 ‘밀리언 파크', LG전자의 차세대 IoT기술이 적용된다. 풀무원푸드앤컬처의 삼식() 서비스와 ‘돕"
"2020-06-09","09일, 외국인 거래소에서 삼성전자(+1.09%), 삼성SDI(+2.13%) 등 순매수","외국인 투자자는 09일 거래소에서 삼성전자, 삼성SDI, 셀트리온 등을 중점적으로 사들인 것으로 나타났다.  외국인 투자자의 순매수 상위 20개 종목은 삼성전자, 삼성SDI, 셀트리온, KB금융, 삼성바이오로직스, KODEX 레버리지, 포스코케미칼, 이마트, POSCO, CJ제일제당등이다.  이중에 전기,전자 업종에 속한 종목이 3개 포함되어 있다.  삼성전자, 삼성SDI, 셀트리온 등은 전일 대비 주가가 상승했고, KODEX 레버리지, POSCO, 삼성물산 등은 주가가 하락했다."
"2020-06-09","시민사회단체들 ""이재용 영장기각, 국민 법감정 외면한 봐주기""(종합)","참여연대·경제민주주의21 ""증거·논리 보강해 조속히 구속영장 재청구해야""  시세조종과 분식회계 등 혐의를 받는 이재용(52) 삼성전자 부회장에 대한 구속영장이 9일 법원에서 기각된 것과 관련해 시민사회단체들은 사안의 중대성과 국민 법감정을 외면한 ... 조속히 구속영장을 재청구해야 한다""고 촉구했다.  이 단체는 ""이 부회장은 온갖 범죄행위와 꼼수를 통해 제일모직과 삼성물산 간 합병비율을 조작해 삼성전자 지분 약 4%를 손에 얻었다""면서 ""이 과정이 합법적이었다면 무엇 때문에 이 부회장이"
"2020-06-09","""사실관계 소명됐다""는 법원…삼성은 ""범죄혐의 인정 안된 것""","법원이 ‘경영권 부정승계 의혹’을 받는 이재용 삼성전자 부회장의 구속영장을 기각하면서 제시한 190자 분량의 기각사유가 ‘해석 논쟁’에 휩싸였다. 검찰이 이 부회장에게 적용한 자본시장법 ... 내놨다. 사실관계와 범죄혐의는 엄연히 다르다는 얘기다. 한 법조계 관계자는 “사실관계가 소명됐다는 것은 삼성물산과 제일모직의 합병이 이 부회장에게 유리하게 이뤄졌다는 등 ‘팩트’에 관한 것일 뿐”이라며"
"2020-06-09","참여연대 ""이재용 영장기각은 국민 법감정 외면한 봐주기""","주주의21 ""증거·논리 보강해 조속히 구속영장 재청구해야""  시세조종과 분식회계 등 혐의를 받는 이재용(52) 삼성전자 부회장에 대한 구속영장이 9일 법원에서 기각된 것과 관련해 시민단체들은 사안의 중대성과 국민 법감정을 외면한 ... 조속히 구속영장을 재청구해야 한다""고 촉구했다.  이 단체는 ""이 부회장은 온갖 범죄행위와 꼼수를 통해 제일모직과 삼성물산 간 합병비율을 조작해 삼성전자 지분 약 4%를 손에 얻었다""면서 ""이 과정이 합법적이었다면 무엇 때문에 이 부회장이"
"2020-06-09","법원, 이재용 혐의 유무는 안 밝혀…기소시 재판서 가려질 듯","""사실관계만 인정""  검찰, 영장 재청구 없이 불구속 기소 유력…수사심의위 소집 '변수'  법원이 9일 이재용(52) 삼성전자 부회장에 대한 구속영장 청구를 기각하면서도 검찰의 혐의 소명 여부에 대해선 명확한 판단을 내리지 않았다.  검찰 ... 하기에는 부담스러웠을 것""이라고 말했다.  법원이 혐의를 인정했는지에 관해서는 입장이 엇갈린다.  법조계에선 법원이 삼성물산과 제일모직의 합병을 둘러싼 객관적인 사실관계만 인정했을 뿐이라는 입장이 우세하지만, 전체적인 취지상 혐의가 인정됐다고"
"2020-06-09","이재용 영장기각에 삼성 주가 일제히 강세…""불확실성 해소""","삼성전자 등 장중 1%대 강세…""기각결정 영향 제한적"" 시각도  이재용 삼성전자 부회장의 구속영장 기각 결정이 나온 9일 삼성그룹 계열사들의 주가가 강세를 보이고 있다.  이날 유가증권시장에서 오전 9시 58분 현재 삼성전자 주가는 ... 게 삼성그룹 주가에 긍정적으로 기여할 것이란 평가가 나온다.  김동원 KB증권 연구원은 ""이번 구속영장 기각은 삼성전자, 삼성바이오로직스, 삼성물산 등 삼성그룹 경영권 부정 승계 의혹과 관련된 삼성 계열사의 불확실성을 해소하는 계기로"
"2020-06-09","코스피 1% 상승 출발…장중 2,200선 돌파(종합)","연방공개시장위원회(FOMC)를 앞두고 아직은 관망 심리가 우세한 모습""이라고 분석했다.  이날 현재 유가증권시장에서는 기관이 168억원어치를 순매수했다.  반면 개인은 69억원, 외국인은 188억원을 각각 순매도했다.  시가총액 상위 종목 가운데는 삼성전자(1.82%)가 급등했고 삼성바이오로직스(1.66%), 삼성물산(0.88%) 등도 동반 강세를 보였다.  그 외 SK하이닉스(1.66%)와 삼성SDI(3.81%) 등도 함께 올랐다.  업종별로는 전기·전자(1.45%)와 운송장비(1.17%),"
"2020-06-09","외신 '주가조작 혐의' 이재용 구속영장 기각 일제히 보도","블룸버그 ""삼성, 이재용 불구속뿐 아니라 기업명예 위해 싸워""  WSJ ""이재용 징역 땐 수형기간에 따라 삼성 미래 일부 영향""  이재용 삼성전자 부회장에 대해 청구된 검찰의 구속영장이 9일 기각되자 외신들은 사건의 내용과 배경을 ... 검찰이 수년에 걸쳐 수사를 진행하는 것은 그 기간을 고려할 때 이례적이라고 설명했다.  이번에 검찰은 제일모직과 삼성물산의 합병이 2015년 5월 결의된 뒤 호재성 정보를 집중적으로 뿌려 주가를 조작, 합병의 정당성을 높이려고 한 혐의로"
"2020-06-09","이재용 불구속…한숨 돌린 삼성","법원이 9일 이재용 삼성전자 부회장의 구속영장을 기각했다. 하지만 검찰이 수사를 통해 상당한 증거를 확보한 것으로 판단했다. 삼성은 2년4개월 만의 ‘총수 재구속’ 위기에서 기사회생했지만 남은 재판 과정에서 ... 이 부회장 측은 “불구속 상태에서 수사와 재판을 받게 돼 다행”이라며 “앞으로도 삼성물산과 제일모직이 합병하는 과정 등에서 불법 행위가 일절 없었다는 점 등을 성실히 규명해나가겠다”는 입장을"
"2020-06-09","삼성그룹, 이재용 영장 기각 소식에 동반 강세","삼성전자 부회장에 대해 삼성그룹 경영 지배권 강화 과정에서 불법을 저지른 혐의로 청구된 구속영장이 기각돼서다.  9일 오전 9시4분 현재 삼성물산은 전날보다 3000원(2.64%) 상승한 11만6500원에 거래되고 있다. 삼성바이오로직스도 같은 시간 1만6000원(2.41%) 오른 68만원을 기록 중이다.  삼성 전자 삼성중공업 삼성SDI 삼성생명 삼성전기 등도 1% 넘게 뛰고 있고, 제일기획 삼성에스디에스 삼성카드 삼성증권 삼성화재 삼성엔지니어링"
"2020-06-09","""이재용 부회장, 구속영장 기각…삼성전자 불확실성 해소 계기""","이재용 삼성전자 부회장의 구속영장 기각이 삼성전자 삼성바이오로직스 삼성물산의 불확실성의 해소하는 계기가 될 것이란 증권가의 분석이 나왔다.  간밤 서울중앙지법은 삼성그룹의 경영권 승계 의혹과 관련해 청구된 이 부회장의 구속영장을 ... 예상되지만, 1년8개월 장기간 수사 후의 영장 기각은 부담으로 작용할 것""이라며 ""이번 기각은 삼성그룹 경영권 부정 승계 의혹과 관련된 삼성 계열사의 불확실성을 해소하는 계기로 작용할 것""이라고 전망했다."
"2020-06-09","KB증권 ""이재용 구속영장 기각, 삼성전자 불확실성 해소 계기""","KB증권은 이재용 삼성전자 부회장에 대해 검찰이 청구한 구속영장이 법원에서 기각되면서 삼성전자 등 계열사를 둘러싼 불확실성이 상당 부분 해소될 것이라고 9일 평가했다.  김동원 연구원은 ""이 부회장은 구속영장 기각 이후 삼성그룹의 ... 바탕으로 적극적인 인수·합병(M&A)을 시도할 것으로 보인다""고 내다봤다.  그러면서 ""이번 구속영장 기각은 삼성전자, 삼성바이오로직스, 삼성물산 등 삼성그룹 경영권 부정 승계 의혹과 관련된 삼성 계열사의 불확실성을 해소하는 계기로"
"2020-06-09","구속 면한 이재용, ""늦게까지 고생하셨습니다"" 한마디 후 떠나","삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 의혹으로 구속 위기를 맞았던 이재용(52) 삼성전자 부회장이 9일 오전 2시 40분께 경기 의왕시 서울구치소 정문 밖으로 나왔다. 전날 오전 10시 30분께 구속 ... 제네시스 G90 승용차에 타고 곧바로 사라졌다.  이 부회장이 떠난 직후 함께 구속영장이 기각된 최지성(69) 옛 삼성 미래전략실장(부회장)과 김종중(64) 옛 미전실 전략팀장(사장)도 구치소 정문을 나와 준비된 차를 타고 떠났다."
"2020-06-09","검찰 ""이재용 영장기각 아쉽다"" vs 변호인단 ""혐의 소명 안돼""","삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 의혹을 받는 이재용 삼성전자 부회장(사진)이 구속을 면했다. 구속영장이 기각되자 검찰은 아쉬움을 나타냈다. 이 부회장 측은 기본적 사실관계 외에 범죄 혐의가 소명되지 않았다는 것이 법원의 취지임을 강조했다.  서울중앙지검은 9일 오전 2시께 이 부회장 등 삼성 전·현직 고위 임원 3명의 구속영장이 모두 기각된 직후 ""본 사안의 중대성, 지금까지 확보된 증거자료 등에"
"2020-06-09","[모닝브리핑]북한 ""모든 연락선 차단""… 나스닥 사상 최고","빨라질 수 있다는 기대감을 높였습니다.  이재용 구속 영장 기각, 법원 ""필요성 소명 부족""  삼성물산·제일모직 합병과 경영권 부정승계 의혹을 받는 이재용 삼성전자 부회장에 대해 검찰이 청구한 구속영장이 ... 감염증(코로나19)으로 위축된 개인 신용카드 사용액이 두 달 만에 회복세를 나타냈습니다. 카드업계에 따르면 신한·삼성카드 등 국내 8개 카드사의 지난달 개인 신용카드 승인금액은 45조1355억원이었습니다. 지난해 같은 달 보다 2.3%"
"2020-06-09","'이재용 관여·지시' 보강수사 불가피…수사심의위 주목","구속영장 기각에 수사 마무리 계획 차질…삼성 '반격' 가능성  법원이 9일 이재용(52) 삼성전자 부회장의 구속영장을 기각하면서, 1년 7개월을 이어온 검찰의 '삼성 합병·승계 의혹' 수사의 동력이 막판 크게 약화할 수 있다는 ... 시작됐다.  검찰은 분식회계와 이 부회장의 경영권 승계의 관련성에 초점을 맞추고 수사 범위를 넓혔다.  외관상 삼성바이오 분식회계 의혹에 대한 수사였지만 '삼성물산-제일모직 합병→삼성바이오 회계 변경→삼성바이오 상장'으로 이어진"
"2020-06-09","삼성 vs 검찰 '한밤의 무승부'…""재판 가서 다퉈라""","이재용 삼성전자 부회장(  사진  )이 구속을 면했다. ‘총수 공백’ 리스크를 피한 삼성은 안도의 한숨을 내쉬었다.  전날(8일) 이 부회장에 대한 영장실질심사를 진행한 원정숙 서울중앙지법 영장전담 부장판사는 ... 충분한 공방과 심리를 거쳐 결정하는 것이 타당하다고 판단된다”고 덧붙였다.  구속 필요성은 인정하지 않되 삼성물산·제일모직 합병과 경영권 승계 과정을 둘러싼 혐의에 대해 검찰이 입증한 내용은 상당 부분 인정하고"
"2020-06-09","이재용 수사에 제동 건 법원…""구속 필요성 소명 부족""","보호해줄 필요가 있다는 점을 강조한 것으로 풀이된다.  이 부회장과 함께 구속 갈림길에 섰던 최지성(69) 옛 삼성 미래전략실 실장(부회장), 김종중(64) 옛 미전실 전략팀장(사장)도 모두 구속 위기에서 벗어나 검찰로선 1년 7개월을 ... 지배력을 높일 수 있게 회사 차원에서 조직적으로 계열사 합병과 분식회계를 계획하고 진행한 것으로 의심해왔다.  검찰은 삼성 측이 삼성물산과 제일모직 합병 과정에서 이 부회장에게 유리하게 합병 비율을 산정하고 주주들의 주식매수청구권 행사를"
