"dates","titles","paragraphs"
"2020-06-05","삼성 온라인채용 확산…SKT """"화상면접"""" LG """"필기시험 추진""""","‘화상회의 솔루션’에 대해서도 깊은 관심을 드러내고 있다.  지난달 입사시험을 치르고 6월중 면접을 앞둔 SK그룹의 계열사들은 ‘온라인 면접’을 적극 검토중인 것으로 알려졌다. SK텔레콤은 올 상반기 공채 ... 통보할 것”이라고 말했다. SK이노베이션은 아직 화상면접 여부를 확정짓지는 못했다. 앞서 3월 수시채용때 SK이노베이션은 대기업 가운데 처음으로 화상면접을 실시해 화제가 되기도 했다. SK매직은 1,2차 면접 모두를 온라인으로 진행키로"
"2020-06-04","SK, 아시아 최대 저가항공 에어아시아에 1000억 투자 검토","SK그룹이 아시아 최대 저비용항공사 에어아시아에 약 1000억원을 투자하는 방안을 검토 중이다.  SK 고위 관계자는 “말레이시아 국적 LCC인 에어아시아로부터 최근 지분 투자 제안을 받고 진지하게 검토하고 ... 계열사가 보유한 정보통신기술을 항공 플랫폼에 접목시켜 시너지 효과를 낼 수 있을 것”이라고 설명했다.  SK는 지난해 매물로 나온 아시아나항공 인수 후보로 거론됐지만 인수전에 참여하지 않았다. 그룹의 주력 기업인 SK이노베이션이"
"2020-06-04","마스크 수출 허용에 관련주 '들썩'...수익 제대로 높이려면","새로운 상품에 대해 자세히 알고 싶은 투자자는 고객상담센터  * 증권사 미수/신용 실시간 상환  * 한종목 100% 집중투자  * 업계 유일 11년 연속 대한민국퍼스트브랜드대상,"
"2020-06-04","TV에서 보던 진짜 주식전문가를 '무료카톡방'에서 만날 수 있다.","주목된다.     최근 핫이슈 종목  삼성중공업, 셀트리온제약, 카카오, SK하이닉스, 씨젠, 두산인프라코어, 동국제강, 대한항공, 메디톡스, SK이노베이션"
"2020-06-04","""""전기차 배터리 대란 우려에…"""" 글로벌 '합작 열풍' 분다","지리차와의 공장은 부지 선정 단계다.  업계에 따르면 현대차도 글로벌 추세에 발맞춰 국내 배터리 3사 중 합작법인 파트너를 물색 중이다.  작년 말에는 현대차와 LG화학 간 합작법인 설립이 추진됐다가 무산됐다는 소문도 나왔다.  SK이노베이션은 중국 베이징자동차와 합작 공장을 추진해 작년 12월 준공했다.  유럽 주요 완성차 업체도 배터리 업체와의 합작 투자에 팔을 걷어붙였다.  폭스바겐은 지난달 중국 4위 배터리 업체 궈쉬안 하이테크의 지분 26.5%를 인수한다고"
"2020-06-03","03일, 거래소 외국인 순매수상위에 전기,전자 업종 3종목","외국인 투자자는 03일 거래소에서 삼성전자, SK하이닉스, 신한지주 등을 중점적으로 사들인 것으로 나타났다.  외국인 투자자의 순매수 상위 20개 종목은 삼성전자, SK하이닉스, 신한지주, LG화학, 현대차, POSCO, 현대건설, SK이노베이션, SK텔레콤, 휠라홀딩스등이다.  이중에 전기,전자 업종에 속한 종목이 3개 포함되어 있다.  삼성전자, SK하이닉스, 신한지주 등은 전일 대비 주가가 상승했고, 더존비즈온 등은 주가가 하락했다.  거래소"
"2020-06-03","'동학개미' 이겼다…10개 종목 중 8개 저가매수 '적중'","고스란히 수익으로 돌아왔다. 수백억원어치는 36만원이 넘는 가격에 매도해 차익을 실현했다.  개인은 같은 기간 SK이노베이션도 집중 저가 매수했다. SK이노베이션은 2월 17일부터 3월 19일까지 58.33% 하락했다. 개인들은 그동안 3459억원어치를 ... 4위와 9위다.  다른 순매수 10위권 종목들도 저가 매수 전략으로 수익을 본 게 적지 않았다. 순매수 2위는 SK하이닉스였다. 개인이 이날 SK하이닉스 종가보다 낮은 가격일 때 산 규모는 9787억원, 높은 가격일 때 산 건"
"2020-06-02","김준 """"SK이노, 친환경 투자로 구조적 혁신""""","총괄사장이 “친환경 부문 투자를 늘려 구조적인 혁신을 이뤄내겠다”고 밝혔다.  김 총괄사장은 최근 조경목 SK에너지 사장, 나경수 SK종합화학 사장과의 화상회의에서 “모든 수단과 방법을 동원해 올해는 사회적 가치 성과를 개선하겠다”며 이같이 말했다.  SK그룹은 지난해부터 납세, 배당, 고용, 환경 등과 관련해 각 계열사가 창출한 사회적 가치를 공개하고 있다. SK이노베이션의 지난해 사회적 가치"
"2020-06-02","김준 SK이노 총괄 사장 """"친환경 사업 강화해 구조적 혁신 이룰 것""""","부문에 대한 투자를 늘려 구조적인 혁신을 이뤄내겠다""""고 밝혔다.  김 총괄 사장은 지난달 29일 조경목 SK에너지 사장, 나경수 SK종합화학 사장과의 화상회의에서 """"모든 수단과 방법을 통해 올해는 사화적 가치 성과를 ... SK그룹은 지난해부터 납세, 배당, 고용, 환경 등을 고려해 각 계열사들이 창출한 사회적 가치를 계산해 공개하고 있다. SK이노베이션의 지난해 사회적 가치 규모가 2018년보다 85% 감소한 1717억원에 그쳤다. 정유 석유화학"
"2020-06-02","SK이노베이션 사회적 가치 1조 감소…배당·납세 줄어","고용은 사상 처음 7천명 넘어서…사회공헌·사업 성과 증가  김준 사장 """"이대론 안 된다…그린 밸런스 악착같이 실행""""  SK이노베이션이 지난해 창출한 사회적 가치가 전년보다 1조원 이상 감소한 것으로 나타났다.  업황 부진에 따라 성과는 줄었지만, 측정 결과의 투명한 공개로 사회적 가치 창출의 진정성을 드러냈다는 평가가 나온다.  SK이노베이션은 2일 지난해 창출한 사회적 가치가 2018년의 14% 수준인 1천717억원으로 측정됐다고 밝혔다.  배당,"
"2020-06-02","""""화상통화로 면접 봅니다""""…채용시장 자리잡는 '언택트' 바람","대상으로 같은 방식의 2차 면접 전형을 진행할 예정이다.  앞서도 대기업들이 공채에서 비대면 방식을 시행하겠다고 밝힌 바 있다. CJ는 상반기 그룹 공채에서 코로나 예방을 위해 웹캠을 통한 비대면 면접을 추진하기로 했다.  SK이노베이션도 코로나 여파로 잠정 중단했던 채용을 시작하면서 화상 면접을 도입했다. LG전자와 카카오 등도 경력직 또는 상시채용 지원자에 대해 화상 면접을 시행하고 있다.  김하나 한경닷컴 기자  hana@hankyung.com"
"2020-06-02","오늘 '상한가 종목', 알고 보니 어제 추천받았네","코로나-19로 시작된 주가 하락으로 ‘지금이 저점’이라는 생각으로 주식 초심자들이 대거 몰려들고 있다. 주식 시작부터 검증된 주식 전문가의 도움을 받는다면 주식수익이 더 이상 꿈이 아닌 현실이 될 것이다. 주식수익을 꿈꾼다면 주저하지 말고 한국TV 주식카톡방에 입장할 것을 권한다.  오늘의 추천주  셀트리온제약, 삼성전자, 메가스터디, 삼천리자전거, 한진칼, 셀리버리, SK이노베이션, 신성통상, NAVER, 현대차"
"2020-06-01","나이스신평, SK이노베이션 등 장기신용등급 전망 하향","나이스신용평가는 SK이노베이션과 SK에너지, SK인천석유화학, 에쓰-오일 등 4개 정유사의 장기신용등급 전망을 '안정적'에서 '부정적'으로 하향 조정한다고 1일 밝혔다.  나이스신평은 """"이들 정유사는 올해 1분기 대규모 영업적자 이후 당분간 실적 부진과 함께 상당 수준의 재무 부담이 지속할 것으로 예상된다""""며 등급 전망을 내린 이유를 설명했다.  이어 """"코로나19 확산에 따른 각국의 봉쇄조치 이후 주요국의 경제활동 재개와 국가 유가의 일부 반등 등으로"
"2020-06-01","“이 종목이 상한가 갈걸 미리 알고 있었나?”","수익인증으로 북새통을 이루고 잇다.   오늘 놓치면 다음부턴 44만원 내야 입장가능한 주식카톡방!   주식카톡방에 입장하면 무료 추천주, 시황분석등 주식과 관련한 모든 서비스를 받아 볼 수 있다. 해당 평생무료 혜택은 일정인원 입장 후 제한될 수 있다고 하니 지금 바로 참여해보자.  최근 핫이슈 종목  대우조선해양, SK이노베이션, 메가스터디교육, 한진칼, 에코프로비엠, 레고켐바이오, KB금융, 파미셀, 모나미, 셀리버리"
